rating_no,,id,age_category,book_genre,rating_no,tokenised_text,n_tokens
1.0,284434,review_244526687,Adult,Popular fiction - general,1.0,like adult book concept simply ya spoiler example girl marry grown man king wedding night describe brother sister have sexual relationship ect form zombie book writing style okay care plot,30
1.0,30788,review_528067373,Adult,Literary fiction,1.0,okay read college maybe little biased rating like thank make realize enjoy magic realism literary technique book melodramatic eye roll page,21
1.0,84989,review_3210428778,Adult,Literary fiction,1.0,remember read book club hating probably chance someday people love alas find fun read book read different book,18
1.0,61511,review_112612281,Adult,Literary fiction,1.0,yeah star cause know like make like plus depress pretty entire time read,13
1.0,112948,review_380001099,Adult,Literary fiction,1.0,assign book brit lit class read email teacher ask permission read book like dystopian tale intrigue plot gratuitous sexual content taste reccomend,22
1.0,215713,review_2155045978,Adult,Literary fiction,1.0,favorite book assign far class dense motif bizarre plot dull,10
1.0,18187,review_2771389619,Adult,Literary fiction,1.0,read book english class enjoy important literature enjoy book happen real big plot conflict,14
1.0,208115,review_2196079457,Adult,Literary fiction,1.0,uh cover great beautiful writing kind like long train journey look landscape time time ask landscape change destination story book compile interesting evoke,23
1.0,187560,review_1172313491,Adult,Popular fiction - crime/mystery,1.0,want quit reading early curious people love end engaged walk away disappointed obviously exception like actually dislike like character real maybe father expect reveal important clue hate story trivial boring,30
1.0,63187,review_326561404,Young adult,Popular fiction - general,1.0,read novel prior read want like feel certain read overwhelmingly positive review awesome heartbreaking experience ready excited guess sum experience well state unlikely read book author future forget utterly disappointing find book lot problem book overall feel insincere constantly distract obviously write goal tugging reader heart string let thing happen beautiful spite sad feel like scream page sad sad right sad feel thing cry good writer cry story feel human instead feel unnatural self conscious bad way big impossible thing simply believe character relationship main character concept basically entire story hinge believe care happen come completely pretentious obnoxious particularly way insist speak nerd hipster sort dialect use real world commenter say way talk way self congratulatory punch face like entire character feel contrived feel connection like walk like clever look look constantly put feel genuine real fascination ultimately meaningless metaphor feel condescending like constantly squeal second write need yeah fault sickness control boring character somewhat likable despite insistance make sound like teenager format statement make like question tack distracting end random bit dialogue teenagers talk right talk like teenager good writer feel thing relationship feel completely totally force real reason fall love cross dangerously close twilight territory convienient effortless wonder ready willing fall flat leave place story facet character completely unexplore opportunity delve hard question real answer leave untaken exchange large passage mainly spolier alert trip scene little purpose outside scream look handsome charming boy sweet lady pull chair talks like charming right feel charmed good writer ultimately feel completely fake lose fully aware fact read fiction irritate finish reason give star true task truthfully piss love love book new favorite hold dear heart confused copy break,277
1.0,206859,review_190453472,Young adult,Popular fiction - fantasy,1.0,listen book afternoon drive home work book listen have long drive consider finish feel plot wander connect main character support character main character flat character sympathetic enjoy read character interesting plot resolve way warrant build probably enjoy book slow paced pretty anticlimactic,42
1.0,10568,review_1009161134,Adult,Literary fiction,1.0,burn hell wa find character vacuous self involved morodic best redeemable feature maybe kind prediction telling prefer read v heart,20
1.0,31240,review_80730590,Adult,Literary fiction,1.0,receive universal praise absolutely hate think heavy handed pretentiously format seriously generally artless disagree pretty critic disagree strongly will clearly mean lot author hate trash earnest work damn hate book bother weird post postmodernist trick find manipulative distract obnoxious runonandonandonadnon sentence probably will bother drive absolutely nut,47
1.0,5579,review_20214555,Adult,Literary fiction,1.0,resent have spend time effort read book lack depth take appreciate plot disappointed,13
1.0,269634,review_3211007082,Adult,Literary fiction,1.0,lot caustic write write review shortly finish gratuitous tedious,9
1.0,152706,review_902405646,Adult,Literary fiction,1.0,blurb cover man return town baffle murder take place determined story marry beautiful agree return bride disgrace parent distraught family force lover twin brother announce intention murder dishonor sister read para great book mention disappointing frankly stupid book believe read solitude love time cholera skip remain book,47
1.0,61611,review_408765572,Adult,Popular fiction - crime/mystery,1.0,book rage friend recommend like husband wife redeem character trait play trick cleverness book good feeling wish read course finish happen end donate copy library book sale,27
1.0,147533,review_126208561,Young adult,Popular fiction - fantasy,1.0,try try finish book plotline incredibly intriguing story book love book course want read big drag fantasy book love read cliffhanger highly lack wonderful potential story go read page find want pick read chore watch tv tell need abandon reviewer say think lose translation german english look like read german version think plot drag funke save page cut development beginning,60
1.0,165659,review_6734442,Adult,Literary fiction,1.0,maybe want challenge book tough read truly get definitely social commentary interesting dark disgusting afraid emotion necessarily want feel emotion book read want enjoy level understand truly opinion challenge friend read maybe find maybe read book confirm believe,38
1.0,10342,review_14481889,Adult,Popular fiction - fantasy,1.0,enjoy book ridiculous try introduce character detailed history climax absolutely pathetic want puke pretty murder trilogy volume,17
1.0,27473,review_138640554,Adult,Literary fiction,1.0,dislike book page start alright believe fantasty sup magic nose thing far fetched liking,14
1.0,87,review_2039775213,Adult,Literary fiction,1.0,review opposite happen shitty book promising middle forget table universe upside hype book buy read horror boredom stay away read book indian english book decency plot wholesome shit plot like uncurable cancer doctor tell patient start treatment bad kill body point way treat death need write document,47
1.0,289369,review_1109417355,Children,Popular fiction - fantasy,1.0,book right slog literally hang enjoy start story boring repetitive character unbelievable way goody goody sure know end glad finish book shall read exhaust,24
1.0,159561,review_2221352691,Young adult,Popular fiction - general,1.0,special book book disabled adult kid dog new exciting different book book bring new table aim kid excuse average writing book good intention good bad book good intention give pass ask think people hold book pedestal want support kid disability say book bad offensive people disability personally agree find infuriate author hide excuse say book bad offensive people wonder onorgasional straight enrage excuse give bad writing recommend book take overdone genre change lazily slap story disabled kid heart wrench story emotionless boring,82
1.0,260475,review_854813121,Adult,Literary fiction,1.0,hate book brother like figure,5
1.0,28200,review_2197167042,Adult,Popular fiction - historical,1.0,easily bad translation novel enlish misfortune read author translator obsess comma colon make book difficult read sentence structure terrible make sense say start comment banal story way describe brilliant book start badly long list character stop read novel original italian well read doubt story poor boring matter language read,49
1.0,145103,review_2594858971,Adult,Literary fiction,1.0,begin book difficult follow haha reset read page like time course haha difficult relate reading challenge fact need clear space steel continue read page difficult follow learn meaning language newspeak rule world understand concept interesting set dystopian time extremely believe world politic war believe war like main character believe certain thing thing follow get interesting meet girl aha be interesting meet girl boy yeah help power book agonizing dreadful book get catch employer get interesting finally unfold finally understand book middle book main character read book important book hate feel like inception like read book trouble follow understand book read book hey yay finally finish edit read review see actually read school wow suppose read school well talk people exchange idea book well guy,124
1.0,9157,review_722600719,Adult,Popular fiction - crime/mystery,1.0,barely choke story ugh read book club normally choose title like write get bored way like pull tooth finish book club read novel read bad dislike read book badly date story chock current event want read bitch date real killer hate loser play game real life use hate loser play game story use find suspenseful find grind keep think shoot asshole good read preferred genre agree story total bust glad buy book library,73
1.0,45897,review_2815739627,Adult,Literary fiction,1.0,hate book unlikable character cringeworthy story real ending,8
1.0,132764,review_787207082,Adult,Literary fiction,1.0,guy try start continue read time interest neverende choice care anymore book go forever character loathsome,16
1.0,79334,review_710176001,Adult,Literary fiction,1.0,get high review expect like book fit people like superior smarter well read review people shit like find boring exactly book talk follow masse blindly book,26
1.0,292844,review_1801157049,Children,Popular fiction - fantasy,1.0,midnight palace take place dilapidated indian city know story begin flee mysterious assassin twin baby peake manage deliver baby grandmother kill antagonist aryami keep orphan girl give brother orphanage main character orphan raise institution form society vow help turn leave orphanage turn aryami granddaughter sheere arrive chain mysterious seemingly daemonic event discover twin actually ghost demon specter word describe deceased father series senseless action stupid decision kill send afterlife disband go separate way adult life theme think relate book need rely friend strength number character work utilize strength solve mystery main character definitely good stick friend risk life bad initially want involve friend protect talk thing eventually enlist help character book pretty shallow think single character strictly good strictly evil absolutely recommend book character flat possible have distinguish trait skill set ghost story guy s literally story initially start strong setting apt dark tone long story go relevant setting thing book right book mystery actually find secret thing sense father demon ghost specter die character unrealistic annoying decision make skill low budget horror movie cast author like try clever fall short time extremely disappointing,184
1.0,43480,review_2805532265,Adult,Literary fiction,1.0,hello hate care hold philosophical meaning bye,7
1.0,15936,review_2437804759,Adult,Literary fiction,1.0,listen disc go town get remember happen consider great book figure shot start beginning finish disc pull plug unable engage story,21
1.0,143498,review_295877050,Children,Popular fiction - general,1.0,total crap redeem book hope kid reason thank god adult hope different good story wimpy kid pass judgment bullying,19
1.0,78899,review_2183544918,Young adult,Popular fiction - general,1.0,star fairly write absolutely portray teenager cancer accurately romance terrible boring understand book popular,14
1.0,279555,review_2258275298,Adult,Literary fiction,1.0,hi apology reviews unerringly negative contain lot cursing teen angst warn hi hate book strongly dislike existentialism absurdism think ridiculous branch philosophy self indulgent drivel best book require read senior english oof read damn book assignment get unit suffer capital s prefer drop fucking volcano read likable character sexism racism rampant plot wow fuck awful,55
